Drug	target
D00094	hsa:2103
D00094	hsa:7421
D00094	hsa:6095
D00348	hsa:2103
D00348	hsa:6256
D00348	hsa:7421
D04066	hsa:8856
D04066	hsa:2103
D04066	hsa:9971
D01132	hsa:8856
D01132	hsa:2103
D01132	hsa:5465
D01441	hsa:8856
D01441	hsa:2100
D01441	hsa:2103
D00188	hsa:8856
D00188	hsa:2100
D00188	hsa:2103
D00627	hsa:8856
D00627	hsa:2100
D00627	hsa:2103
D00187	hsa:8856
D00187	hsa:2100
D00187	hsa:2103
D00956	hsa:8856
D00956	hsa:2100
D00956	hsa:2103
D00129	hsa:8856
D00129	hsa:2100
D00129	hsa:2103
D00585	hsa:8856
D00585	hsa:2100
D00585	hsa:2099
D00299	hsa:8856
D00299	hsa:2100
D00299	hsa:2103
D00962	hsa:8856
D00962	hsa:2103
D00962	hsa:2100
D00554	hsa:8856
D00554	hsa:2100
D00554	hsa:2103
D01217	hsa:8856
D01217	hsa:2100
D01217	hsa:2099
D00066	hsa:8856
D00066	hsa:2100
D00066	hsa:9971
D00312	hsa:8856
D00312	hsa:2100
D00312	hsa:2103
D02217	hsa:8856
D02217	hsa:2103
D02217	hsa:7421
D00040	hsa:8856
D00040	hsa:2100
D00040	hsa:9971
D00930	hsa:8856
D00930	hsa:2100
D00930	hsa:2099
D00067	hsa:8856
D00067	hsa:2100
D00067	hsa:2103
D00075	hsa:8856
D00075	hsa:2100
D00075	hsa:2099
D02367	hsa:8856
D02367	hsa:2100
D02367	hsa:2103
D00965	hsa:8856
D00965	hsa:2103
D00965	hsa:2100
D01161	hsa:8856
D01161	hsa:2908
D01161	hsa:5241
D01294	hsa:8856
D01294	hsa:2100
D01294	hsa:9971
D00105	hsa:8856
D00105	hsa:2103
D00105	hsa:5465
D00950	hsa:8856
D00950	hsa:2100
D00950	hsa:2103
D00954	hsa:8856
D00954	hsa:2100
D00954	hsa:2103
D00182	hsa:8856
D00182	hsa:2100
D00182	hsa:2099
D00462	hsa:8856
D00462	hsa:2100
D00462	hsa:9971
D00961	hsa:8856
D00961	hsa:2100
D00961	hsa:2103
D01689	hsa:8856
D01689	hsa:5241
D01689	hsa:4306
D00163	hsa:8856
D00163	hsa:2908
D00163	hsa:5241
D00088	hsa:8856
D00088	hsa:5241
D00088	hsa:367
D00951	hsa:8856
D00951	hsa:2908
D00951	hsa:367
D00327	hsa:8856
D00327	hsa:2908
D00327	hsa:5241
D00443	hsa:8856
D00443	hsa:2908
D00443	hsa:5241
D00316	hsa:2103
D00316	hsa:5465
D00316	hsa:7421
D00596	hsa:8856
D00596	hsa:2100
D00596	hsa:2103
D00898	hsa:8856
D00898	hsa:2100
D00898	hsa:2103
D00577	hsa:8856
D00577	hsa:5465
D00577	hsa:7421
D00246	hsa:8856
D00246	hsa:5241
D00246	hsa:4306
D00586	hsa:8856
D00586	hsa:2100
D00586	hsa:2103
D00690	hsa:8856
D00690	hsa:2908
D00690	hsa:4306
D00506	hsa:8856
D00506	hsa:2100
D00506	hsa:5465
D00565	hsa:8856
D00565	hsa:2100
D00565	hsa:2103
D00143	hsa:2100
D00143	hsa:2099
D00143	hsa:9971
D01115	hsa:8856
D01115	hsa:2908
D01115	hsa:5241
D01387	hsa:8856
D01387	hsa:4306
D01387	hsa:5241
D00279	hsa:8856
D00279	hsa:2100
D00279	hsa:2103
D05341	hsa:8856
D05341	hsa:7421
D05341	hsa:9970
D00730	hsa:367
D00730	hsa:2101
D00730	hsa:2100
D00211	hsa:2908
D00211	hsa:5241
D00211	hsa:4306
